name,year,length,budget,aggregateRating,totalReviews,mpaa,genre_id
Due occhi diabolici,1990,120,9000000,5.3,529,,4
Due once di piombo,1966,83,,5.3,5,,0
Due orfanelli I,1947,90,,7.2,15,,0
Due rrringos nel Texas,1967,94,,5.4,8,,4
Due samurai per cento geishe,1962,98,,6.6,7,,4
Due soldi di speranza,1952,110,,6.7,21,,12
Due superpiedi quasi piatti I,1976,98,,6.4,460,,5
Due vigili I,1967,90,,5.3,7,,4
Due vite di Mattia Pascal Le,1985,178,,6.3,19,,4
Duel,1969,1,,8,6,,80
Duel Personality,1966,6,,4.4,25,,70
Duel Scene By Right of Sword,1904,2,,4.1,8,,64
Duel at Apache Wells,1957,69,150000,5.6,12,,0
Duel at Diablo,1966,103,,6.4,281,,0
Duel at Silver Creek The,1952,77,,6,77,,0
Duel in the Jungle,1954,102,,5.8,16,,0
Duel in the Sun,1946,144,8000000,7,866,,8
Duel on the Mississippi,1955,72,,6.1,10,,8
Duelle (une quarantaine),1976,121,,6.5,34,,8
Duellists The,1977,95,900000,7.4,1929,,9
Duello nel Texas,1963,95,,5.4,15,,0
Duende y misterio del flamenco,1952,110,,5.4,5,,16
Duet for One,1986,107,,5.8,152,,8
Duets,2000,112,15000000,5.8,2414,R,12
Duffy,1968,101,,4.9,48,,4
Duffys Tavern,1945,97,,5,29,,4
Duga mracna noc,2004,200,,6.4,76,,8
Dugo ng vampira,1971,90,,5.2,15,,0
Duke Is Tops The,1938,73,,5.1,30,,0
Duke of West Point The,1938,96,,7,20,,8
Duke The,1999,88,,5.1,80,,4
Dukhovnyye golosa. Iz dnevnikov voyny. Povestvovanie v pyati chastyakh,1995,328,,7.8,14,,16
Dulcea sauna a mortii,2003,98,,6.8,13,,0
Dulces horas,1982,106,,6.4,25,,8
Dulcima,1971,98,,5.1,18,,8
Dulcy,1940,73,,5.9,24,,4
Dulhan Made in USA,2005,109,,8.2,5,,32
Duli shidai,1994,125,,6.9,82,,4
Dum pro dva,1987,78,,7.1,6,,8
Dum-Bom,1953,82,,3,13,,4
Duma,2005,100,,8.4,20,PG,8
Duma Vez por Todas,1986,99,,6,9,,0
Dumb & Dumber,1994,101,16000000,6.6,27713,PG-13,4
Dumb Bell of the Yukon,1946,6,,7.3,13,,70
Dumb Patrol,1931,7,,5.7,9,,70
Dumb Patrol,1964,7,,5.8,33,,70
Dumb and Dumberer: When Harry Met Lloyd,2003,85,19000000,3.3,4689,PG-13,4
Dumb-Hounded,1943,7,,7.7,49,,70
Dumbarton Bridge,1999,98,,3.9,19,,8
Dumbo,1941,64,950000,7.4,6828,,10
Dumm gelaufen,1997,88,,5.4,41,,4
Dummy,2002,90,,6.8,1022,R,44
Dummy Doc,1993,5,,6.6,6,,80
Dumping Elaine,2001,9,,7.6,13,,64
Dun-Huang,1988,143,,6.2,43,,8
Dunderklumpen!,1974,97,,6.7,172,,2
Dune,1984,190,45000000,6.3,16903,,1
Dune 7,2002,97,,4.6,9,,0
Dune Warriors,1990,80,,3.7,40,,1
Dung che sai duk,1994,100,,7.3,884,,8
Dung fong bat baai 2: fung wan joi hei,1992,107,,5.9,235,,33
Dung fong saam hap,1993,86,,6.7,726,R,1
Dung fong tuk ying,1986,93,,7.2,220,R,9
Dungeon of Harrow,1962,74,,3.5,21,,0
Dungeonmaster The,1985,73,,2.7,192,,0
Dungeons & Dragons,2000,107,35000000,4,7435,PG-13,1
Dunked in the Deep,1949,17,,6.8,44,,68
Dunkirk,1958,134,,6.8,166,,8
Dunston Checks In,1996,88,,4.7,1017,PG,4
Dunwich Horror The,1970,90,,4.4,426,R,0
Duo luo tian shi,1995,96,,7.5,2179,,8
Duo-Sang,1994,167,,6.2,25,,8
Dupe od mramora,1995,86,,7.4,11,,8
Dupla do Barulho A,1953,90,,6.4,5,,4
Duplex,2003,89,40000000,5.7,4334,PG-13,4
Duplicate,1998,164,,5.9,87,,5
Dupont-Lajoie,1975,100,,7.4,98,,8
Duquesa roja La,1997,84,,5.3,12,,4
Durango Kid The,1940,61,,6.2,14,,0
Durango Kids,1999,87,,4.3,65,PG,0
Durchbruch Lok 234,1963,85,,5.7,8,,8
Durchs wilde Kurdistan,1965,95,,5.7,52,,0
Duri a morire,1978,88,,6.4,14,,1
During One Night,1961,77,,4.9,10,,0
Durst,1993,90,,3.8,23,,8
Durusma,1999,101,,5.2,21,,36
Durval Discos,2002,96,,6.9,126,,12
Dusha,1981,93,,5.6,5,,0
Dushi qingyuan,1994,98,,5.6,41,,0
Dushman,1971,177,,8.1,10,,8
Dusk,2002,33,,9.3,14,,72
Dusk til Dawn,1997,50,,1.4,18,,0
Dust,1985,96,,5.7,49,,8
Dust Be My Destiny,1939,88,,6.6,73,,8
Dust Devil,1992,87,,5.6,321,,0
Dust Off the Wings,1997,78,,4.7,41,,41
Dust to Dust,1994,92,,5.8,11,,0
Dust to Glory,2005,97,,7.6,57,PG,17
Dusting Cliff 7,1996,95,1300000,3.5,80,R,9
Dusty and Sweets McGee,1971,91,,6,15,,8
Dusza spiewa z cyklu Opowiesci weekendowe,1997,56,,7.2,7,,0
Dutch,1991,107,,5.6,1509,,4
Dutch Girls,1985,83,,6.1,61,,0
Dutch Harbor: Where the Sea Breaks Its Back,1998,80,,9,10,,0
Dutch Master The,1994,28,,5.5,51,,100
Dutch Treat,1986,94,,4.4,43,,0
Dutchman,1967,55,,7,50,,8
Dutiful But Dumb,1941,17,,7.6,73,,68
Duty Dating,2002,94,,4.9,29,,36
Duvar,1983,117,,7.2,132,,8
Duxorcist The,1987,8,,7.2,37,,70
Duze zwierze,2000,73,,6.6,151,,12
Dva boytsa,1943,80,,9.4,9,,32
Dva dioptara dalekogledstvo,1976,89,,7,5,,4
Dva kapitana,1955,98,,4.1,5,,0
Dva kapitana II,1993,70,,7.1,28,,20
Dvadtsat dney bez voyny,1976,101,,6.6,45,,40
Dvadtsat shest dney iz zhizni Dostoevskogo,1980,90,,6.7,5,,32
Dve strely. Detektiv kamennogo veka,1989,94,,4.3,17,,4
Dvenadtsat mesyatsev,1972,135,,7.6,7,,0
Dvenadtsataya noch,1955,90,,7.2,14,,4
Dvoryanskoe gnezdo,1969,111,,5.7,17,,32
Dvoynikat,1980,98,,9.2,27,,4
Dvoynoy kapkan,1985,139,,6.5,5,,0
Dwa ksiezyce,1993,133,,6.5,10,,0
Dwa zebra Adama,1964,82,,7,6,,4
Dwaj ludzie z szafa,1958,14,,7,273,,68
Dweepa,2001,132,,6.3,13,,8
Dworzec,1980,14,,4,11,,80
Dyadya Vanya,1970,104,,6.8,38,,8
Dybbuk Bsde Hatapuchim Hakdoshim Ha,1998,93,,7.7,31,,40
Dybuk,1937,108,,6,33,,0
Dying Gaul The,2005,101,4000000,4.3,70,,40
Dying Like Ophelia,2002,6,,8.9,9,,72
Dying Young,1991,114,,5.2,2210,,40
Dying at Grace,2003,148,,8.4,29,,16
Dykkerdrengen,2003,30,,6,8,,72
Dykkerne,2000,91,,5.6,180,,8
Dykket,1989,90,,6.8,101,,9
Dymky,1966,85,,5.3,7,,0
Dynamit,1947,88,,6.8,8,,8
Dynamite,1929,126,,6.6,71,,8
Dynamite Brothers,1974,90,,1.3,21,,9
Dynamite Chicken,1972,76,,4.9,46,,4
Dynamite Jack,1961,103,,5.9,5,,0
Dynamite Johnson,1978,103,,4.2,5,,8
Dynamite Pass,1950,61,,5.1,13,,0
Dynamite Ranch,1932,59,,6.7,5,,0
Dynasteias O,1986,89,,5.3,6,,4
Dyo modernoi glentzedes,1971,91,,3.7,5,,0
Dypets ensomhet,1995,7,,7.2,102,,72
Dyrygent,1980,101,,6.2,50,,8
DysEnchanted,2004,8,,5.8,44,,64
DysFunktional Family,2003,89,3000000,5.6,207,R,20
Dyuba-Dyuba,1993,140,,7.8,20,,40
Dzhamilya,1969,83,,6.5,11,,8
Dzhek Vosmyorkin amerikanets,1987,158,,3.9,6,,4
Dzhentlmeny udachi,1972,88,,8.3,237,,4
Dzieci i ryby,1997,97,,5.9,12,,0
Dziecinne pytania,1981,110,,7.3,5,,8
Dzieciol,1970,85,,6.6,10,,4
Dzieje grzechu,1975,130,,7,25,,0
Dzieje mistrza Twardowskiego,1996,97,,5.8,8,,0
Dzien swira,2002,93,,8.3,349,,12
Dzma,1981,80,,8,6,,0
E Dio disse a Caino,1970,93,,6.7,35,,0
E adesso sesso,2001,90,,2.1,25,,0
E allora mambo!,1999,95,,6.5,119,,4
E la nave va,1983,128,,7.4,632,,4
E no naka no boku no mura,1996,112,,6.7,112,,8
E poi lo chiamarono il magnifico,1972,123,,6.2,153,,5
E tan qun hing ying hui,1976,96,,3.6,16,,9
E venne un uomo,1965,90,,8.1,9,,0
E-mail,2000,109,1000000,4.1,33,,36
E.T. the Extra-Terrestrial,1982,120,10500000,7.8,44175,PG,8
E=mc2,1996,94,,4.8,38,,0
E=mc2,2002,93,,5.1,101,,5
EGGcited Rooster The,1952,6,,5.2,23,,70
ELFilm,2001,21,,6.8,6,,100
EMR,2004,87,,8,13,,0
Each Dawn I Crow,1949,8,,7.6,19,,70
Each Dawn I Die,1939,92,,7,210,,8
Eadweard Muybridge Zoopraxographer,1974,59,,5.5,15,,0
Eager Beaver The,1946,7,,6.3,33,,70
Eagle Has Landed The,1976,131,6000000,6.7,2001,,8
Eagle Island,1986,90,,5.6,20,,1
Eagle Squadron,1942,109,,6.2,19,,8
Eagle and the Hawk The,1933,68,,7,79,,9
Eagle and the Hawk The,1950,104,,6.3,20,,0
Eagle in a Cage,1972,98,,6.9,10,,8
Eagles Brood The,1935,61,,7.3,24,,0
Eagles Wing,1979,104,,5.2,79,,0
Eagle The,1925,73,,6.7,128,,36
Earl Carroll Vanities,1945,91,,5.7,10,,0
Earl of Chicago The,1940,87,,5.7,42,,8
Earls Your Uncle,2004,19,10000,9.1,28,,68
Early Abstractions,1987,23,,6.1,12,,64
Early Amateur Sound Film,1937,4,,6.2,7,,80
Early Bird,1983,5,,6.9,31,,70
Early Bird Dood It! The,1942,9,,6.9,18,,70
Early Bloomer,2003,3,,5.2,26,,70
Early Frost,1982,92,,6.1,34,,0
Early Sports Quiz: Whats Your I.Q. No. 13,1947,9,,5.3,8,,80
Early Worm Gets the Bird The,1940,8,,7,13,,70
Early to Bed,1928,18,,7.1,45,,68
Early to Bed,1941,8,,7.4,41,,70
Early to Bet,1951,7,,5.8,58,,70
Earth,1998,110,,7.4,522,,8
Earth Dies Screaming The,1965,62,,5.5,38,,0
Earth Girls Are Easy,1988,100,10000000,5,3952,,4
Earth vs the Spider,1958,73,,3.4,275,,0
Earth vs. the Flying Saucers,1956,83,,6,729,,0
EarthQuake!,2002,2,,6.3,24,,68
Earthbound,1940,67,,4.8,16,,0
Earthbound,1981,94,,4.1,32,,4
Earthling The,1980,97,,6.2,235,,8
Earthquake,1974,140,7000000,5.2,2106,,9
Earthworm Tractors,1936,69,,6.4,45,,4
Easier Said,1999,94,,3.4,39,R,44
Easiest Way The,1931,73,,6.2,28,,8
East End Hustle,1976,91,,1.9,8,,0
East Is East,1999,96,,6.9,4015,,12
East Lynne,1931,102,,6.8,8,,8
East Meets West,1936,75,,5.6,10,,40
East Side Kids,1940,62,,5.9,29,,8
East Side Story,1997,78,,7.2,70,,16
East Side of Heaven,1939,88,,6.4,7,,4
East Side West Side,1927,90,,8.4,6,,8
East Side West Side,1949,108,,6.3,184,,8
East of Borneo,1931,77,,5.3,14,,0
East of Eden,1955,115,,7.8,3802,PG,8
East of Elephant Rock,1977,93,,3.7,20,,8
East of Euclid,2004,88,,7.1,10,,4
East of Hope Street,1998,88,100000,5.6,14,,8
East of Java,1935,72,,7.3,5,,8
East of Sudan,1964,85,,4.8,16,,40
East of Sumatra,1953,82,,5.1,35,,0
East of the River,1940,74,,6.3,51,,8
Easter,2002,90,,7.1,9,,12
Easter Parade,1948,107,2503654,7.4,1093,,32
Easter Yeggs,1947,7,,7,44,,70
Eastern Westerner An,1920,24,,7,40,,68
Eastside,1999,94,,4.9,55,R,8
Easy,1978,54,,6.4,28,,0
Easy,2003,99,,4.2,204,R,44
Easy Come Easy Go,1967,95,,3.8,165,PG,0
Easy Day,1997,20,,3.5,17,,64
Easy Does It,1946,25,,4.1,10,,66
Easy Kill,1989,94,,3.5,10,,0
Easy Life,1944,20,,5.7,8,,72
Easy Listening,2002,85,,8.6,17,,44
Easy Living,1937,88,,7.6,223,,36
Easy Living,1949,77,,6,74,,8
Easy Money,1948,94,,6.6,11,,12
Easy Money,1983,95,,5.8,1019,,4
Easy Peckins,1953,6,,6.7,16,,70
Easy Rider,1969,94,340000,7.2,10230,,9
Easy Riders Raging Bulls: How the Sex Drugs and Rock N Roll Generation Saved Hollywood,2003,119,,7.1,307,,16
Easy Road,1978,94,,4.3,15,,0
Easy Six,2003,90,,5,37,R,12
Easy Street,1917,19,,8,368,,68
Easy Virtue,1928,89,,5.8,226,,8
Easy Wheels,1989,94,,3.8,52,,5
Easy to Love,1934,65,,6.8,10,,4
Easy to Love,1953,96,,5.7,74,,36
Easy to Wed,1946,106,,6,63,,36
Eat,1963,45,,4.5,20,,0
Eat,2001,9,,6.6,64,,70
Eat My Dust!,1976,89,300000,4.5,95,,4
Eat This New York,2004,80,,5.9,14,,16
Eat Your Heart Out,1997,94,,5.7,136,,8
Eat Your Makeup,1968,45,,7.1,15,,0
Eat a Bowl of Tea,1989,102,,6.3,182,,32
Eat and Run,1986,85,,3.2,55,,4
Eat at the Blue Fox,1983,77,,6.8,6,,0
Eat the Document,1972,54,,6.9,35,,16
Eat the Peach,1986,90,,5.2,72,,4
Eat the Rich,1987,90,,5.2,239,,5
Eaten Alive,1977,87,,5,364,,0
Eatin on the Cuff or The Moth Who Came to Dinner,1942,7,,8,11,,70
Eating,1990,110,,6.7,78,,8
Eating,2005,13,60000,9.1,7,,72
Eating Air,1999,100,,5.2,43,,33
Eating L.A.,1999,90,,3.9,25,,0
Eating Out,1993,6,,6.4,23,,72
Eating Out,2004,90,50000,6.8,182,,4
Eating Raoul,1982,87,350000,6.4,1351,,4
Eau chaude leau frette L,1976,94,,6.8,47,,8
Eau de la vie,1993,13,,8.5,23,,72
Eau froide L,1994,92,,7.1,129,,8
Eau vive L,1957,96,,7.1,8,,0
Eaux dartifice,1953,12,,6.7,85,,64
Eaux profondes,1981,94,,6.4,53,,8
Eban and Charley,2000,86,30000,4.5,110,,8
Ebb Tide,1937,94,,6.8,14,,0
Ebba the Movie,1982,78,,6.5,35,,16
Ebbies Bluff,1993,91,,4.7,10,,0
Ebene 9,2000,14,,5.6,10,,64
Ebolusyon ng isang pamilyang pilipino,2004,647,,8.4,5,,8
Ebon Lundin,1973,78,,4.3,12,,0
Ecce Bombo,1978,103,,7.7,197,,4
Ecce Homo Homolka,1969,85,,7.8,62,,4
Eccezzziunale... veramente,1982,95,,6.1,81,,4
Ecco fatto,1998,90,,7.1,61,,4
Ecco noi per esempio,1977,110,,4.5,13,,4
Echizen take-ningyo,1963,103,,6.4,9,,40
Echo,1999,13,,5.4,16,,64
Echo,2001,12,,8.6,14,,72
Echo Murders The,1945,75,,3.3,6,,0
Echo Park,1986,88,,5.6,155,,12
Echo of Diana,1963,61,,3.3,9,,8
Echoes,1983,89,,4.4,16,,8
Echoes of Paradise,1987,92,,5.3,21,,8
Echoes of a Summer,1976,99,,6,80,,8
Echos of Enlightenment,2001,86,,5.8,43,,8
Echte Kerle,1996,100,,7.2,364,,36
Eclipse,1995,95,,5.6,92,,8
Eclipse,2002,86,,7.1,7,,8
Eclipse of the Sun Virgin,1967,17,,6.4,6,,64
Eclisse L,1962,125,,7.6,622,,8
Ecstasies of Women The,1969,80,,1,6,,12
Ecstasy,1999,27,,3.5,14,,64
Ecstasy Girls The,1979,97,,4.7,34,,0
Ed,1996,94,,2.8,562,PG,4
Ed,1999,11,,3.1,23,,80
Ed,2000,13,,6,5,,64
Ed Mort,1997,102,1500000,6.8,70,,4
Ed Wood,1994,127,18000000,8,22612,R,12
Ed and His Dead Mother,1993,86,1800000,5.3,413,,4
Eds Next Move,1996,88,,6.2,210,R,36
Edad del sol La,1999,95,,2.9,34,,36
Eddie,1996,100,30000000,4.9,1348,PG-13,4
Eddie Cantor Story The,1953,115,,5.2,39,,8
Eddie Duchin & His Orchestra,1933,10,,5.3,7,,64
Eddie Macons Run,1983,95,,5.3,161,,9
Eddie Murphy Raw,1987,93,,6.7,2409,,4
Eddie Stargazer,1999,26,,4.9,10,,64
Eddie and the Cruisers,1983,95,,6.3,1217,,8
Eddie and the Cruisers II: Eddie Lives!,1989,104,,4.7,397,,8
Eddy Duchin Story The,1956,123,,6.4,211,,8
Eden,1996,106,,5.7,138,R,8
Eden,2001,91,,4.3,70,,40
Eden Myth The,1999,88,,6.4,158,R,8
Eden Valley,1994,95,,8.4,8,,8
Edens Curve,2003,91,,4.5,74,,40
Edge of Darkness,1943,120,,7.2,192,,8
Edge of Doom,1950,99,,6.4,33,,0
Edge of Eternity,1959,80,700000,5.8,44,,9
Edge of Honor,1991,89,,5,72,,8
Edge of Madness,2002,99,,6.4,106,R,8
Edge of Quarrel The,2000,120,,8.4,19,,0
Edge of Sanity,1989,85,,4.5,154,R,0
Edge of Seventeen,1998,103,,6.9,879,,44
Edge of the City,1957,85,,7,211,,8
Edge of the World The,1937,74,,7.5,139,,8
Edge The,1968,100,,7,5,,8
Edge The,1997,117,,6.6,6035,R,9
Edgeplay,2004,110,80000,7.2,17,,16
Edges of the Lord,2001,95,7500000,7,639,R,8
Edi,2002,97,,8.1,716,,8
Edin snimachen den,1969,54,,9,8,,0
Edipo alcalde,1996,100,,7.2,67,,8
Edisons Frankenstein,1990,19,,1.5,5,,96
Edison the Man,1940,107,,7.3,193,,8
Ediths Tagebuch,1984,102,,7,16,,8
Editing Is Everything,1999,7,,3.6,18,,68
Edmund,2004,18,10000,8.7,7,,72
Edogawa Rampo ryoki-kan: Yaneura no sanpo sha,1976,76,,6,12,,0
Edogawa ranpo taizen: Kyofu kikei ningen,1969,70,,6.1,7,,0
Edsville,1990,14,,9.3,10,,68
Edtv,1999,122,60000000,6.2,10085,PG-13,4
Educating Kascha,1989,82,,4.7,8,,0
Educating Rita,1983,110,,6.9,2103,,12
Education for Death,1943,10,,7.7,156,,74
Education of Allison Tate The,1986,88,,4.6,8,,0
Education of Gore Vidal The,2003,84,,6.3,14,,16
Education of Little Tree The,1997,112,,6.9,291,PG,8
Education of Sonny Carson The,1974,104,,6,33,,8
Edward II,1991,90,,7.1,431,,8
Edward Said: The Last Interview,2004,120,,9.4,5,,16
Edward Scissorhands,1990,105,20000000,7.7,27017,,40
Edward My Son,1949,112,,6.5,140,,8
Edwurd Fudwupper Fibbed Big,2000,7,,8.1,12,,70
Eegah,1962,90,15000,1.9,1314,,0
Eenmaal geslagen nooit meer bewogen,1995,82,,6.2,9,,8
Efecto mariposa El,1995,110,,6.9,70,,36
Efeito Ilha O,1994,100,,8.2,19,,4
Effect of Gamma Rays on Man-in-the-Moon Marigolds The,1972,100,,6.9,253,,8
Effects,1978,87,,1,7,,0
Effects of Magic The,1998,87,,4,18,,0
Effi Briest,1974,135,,6.9,270,,8
Effraction,1983,94,,5.3,6,,0
Effroyables jardins,2003,95,,6.9,248,,8
Efimeri poli,2000,82,,6.4,5,,8
Eftyhos trelathika,1961,91,,6,7,,4
Eger,2004,102,,5,10,,1
Egg Collector The,1940,8,,5.4,10,,70
Egg Scramble An,1950,7,,6.9,19,,70
Egg and I The,1947,108,,6.9,372,,36
Egged On,1926,24,,8.8,17,,68
Egghead Rides Again,1937,7,,6.6,18,,70
Eggs,1995,86,,6.9,170,,12
Egoisci,2001,103,,5.3,18,,8
Egomania - Insel ohne Hoffnung,1986,84,,6.7,10,,0
Egon Schiele - Exzesse,1981,88,,6.4,30,,8
Egoshooter,2004,72,,6,19,,8
Egreti gelin,2005,100,,6.6,54,,0
Egri csillagok I,1968,71,,7.2,75,,32
Egri csillagok II,1968,86,,7.6,49,,32
Egyptian Melodies,1931,6,,7,43,,66
Egyptian The,1954,139,5000000,5.7,376,,8
Egzekutor,1999,107,,5.6,5,,0
Ehad Mishelanu,1989,110,500000,7.1,30,,8
Ehe der Maria Braun Die,1979,120,,7.6,1247,,8
Ehe im Schatten,1947,105,,7.2,18,,8
Ei,1987,58,,5.8,26,,0
Ei ist eine geschissene Gottesgabe Das,1993,90,,8.4,15,,16
Ei Das,1993,3,,6.9,14,,64
Eich Hifsakti Lfahed Vlamadeti Lehov et Arik Sharon,1997,61,,8.2,6,,16
Eierdiebe,2003,87,,8.1,130,,44
Eifersucht,1925,58,,8.7,7,,0
Eiffeltornet,2004,13,,4.8,14,,76
Eiga joyu,1987,130,,7.3,5,,8
Eiger Sanction The,1975,123,,6.2,1701,,1
Eight,1998,13,,7.2,23,,64
Eight,2001,19,,8,12,,64
Eight Crazy Nights,2002,76,,4.5,2074,PG-13,6
Eight Days a Week,1997,92,,5.9,791,R,4
Eight Iron Men,1952,80,,6.1,30,,8
Eight Lanes in Hamilton,2001,91,,5.6,13,,8
Eight Legged Freaks,2002,99,30000000,5.5,6362,PG-13,5
Eight Men Out,1988,119,6000000,7.3,3689,,8
Eight OClock Walk,1952,87,,6.6,15,,8
Eight on the Lam,1967,107,,4.5,57,,4
Eighteen Jade Arhats The,1979,89,,5.6,12,,1
Eighteen and Anxious,1957,93,,4.1,5,,8
Eighteenth Angel The,1998,95,25000000,4.6,557,R,1
Eijanaika,1981,151,,7.1,77,,8
Eikosi gynaikes kai ego,1973,98,,5.4,5,,4
Ein Shemot Al Hadlatot,1997,84,,6.2,7,,8
Einai enas trelos... trelos... trelos Vengos,1965,87,,5.5,21,,4
Einayim Gdolot,1974,75,,6.9,11,,4
Einbrecher,1930,102,,7.5,5,,4
Eine murul,1987,25,,8.5,7,,66
Einer spinnt immer,1971,84,,3,8,,4
Einer trage des anderen Last,1988,115,,8.8,29,,8
Einfach nur Liebe,1994,95,,7.8,20,,8
Einfach so bleiben,2002,15,,6.4,5,,64
Einleitung zu Arnold Schoenbergs Begleitmusik zu einer Lichtspielscene,1973,17,,5.6,5,,64
Einmal der liebe Herrgott sein,1942,93,,6.9,13,,4
Eins og skepnan deyr,1986,97,,5.1,6,,0
Einsamkeit der Krokodile Die,2000,96,,7.7,62,,12
Einspruch III,2002,9,,5,6,,64
Einsteiger Die,1985,100,,4.1,139,,4
Einstein des Sex Der,1999,100,,7.5,154,,8
Einstein on the Beach: The Changing Image of Opera,1986,58,,7.1,13,,16
Einsteins Playground,2003,17,,5,17,,64
Eisenhans,1983,96,,8.2,5,,8
Eisenstein,2000,99,,5.8,54,,8
Eiserne Gustav Der,1958,102,,6.2,49,,12
Eitoman - Subete no sabishii yoru no tame ni,1992,83,,4.3,18,,1
Ek Aur Ek Gyarah,2003,205,,6,36,,45
Ek Chhotisi Love Story,2002,122,,2.8,19,,0
Ek Din 24 Ghante,2003,95,,5.3,10,,0
Ek Din Pratidin,1979,95,,9,9,,0
Ek Rishtaa: The Bond of Love,2001,180,,5.4,58,,8
Ekdromi I,1966,85,,9.9,7,,40
Ekeinos ki ekeini,1967,95,,7.8,6,,8
Eki Station,1981,132,,7.6,12,,0
Ekipazh,1980,144,,6.4,69,,9
Eko eko azaraku,1995,80,,5.4,107,,0
Eko eko azaraku II,1996,83,,5.5,39,,0
Eko eko azaraku III,1998,95,,5.1,33,R,0
Eksamen,1993,7,,5.3,5,,72
Ekspres Ekspres,1996,76,,6.4,75,,0
El,1953,92,,8.3,370,,8
El Che Guevara,1968,88,,5.1,13,PG-13,8
El Alamein,2002,117,,7.3,131,,8
El Cid,1961,182,6250000,7.1,1458,,40
El Dorado,1966,126,,7.5,2432,,1
El Gaucho Goofy,1943,8,,6.1,24,,66
El Greco,1966,95,,6.5,15,,8
El Paso,1949,103,,5.3,30,,0
El Paso Kid The,1946,54,,4.8,7,,0
El Perro Negro: Stories from the Spanish Civil War,2005,84,,5.6,5,,16
El Salvador: Another Vietnam,1981,53,,6.1,7,,16
El less wal kilab,1962,120,,6.8,6,,0
Ela na agapithoume darling,1984,91,,6.1,15,,4
Ela sto thio,1950,89,,8,5,,4
Elaka Rune & Sune 4 - Domedagen,2003,90,,4.1,25,,4
Elastic Affair An,1930,10,,6.6,14,,68
Eldorado,1921,100,,7.6,36,,8
Eldorado,1995,104,,7,149,,8
Eldra,2002,93,,7.9,11,,8
Ele o Boto,1987,108,,6.9,45,,8
Eleanor Roosevelt Story The,1965,90,,7.5,10,,16
Election,1999,103,8500000,7.4,17521,R,4
Electra,1996,87,,3.1,209,R,0
Electra Glide in Blue,1973,114,,6.7,493,,1
Electric Boogie,1983,30,,5.5,6,,80
Electric Dragon 80.000 V,2001,55,,6.9,226,,1
Electric Dreams,1984,95,,5.8,1355,,36
Electric Earthquake,1942,9,,7.1,48,,66
Electric Horseman The,1979,122,,5.8,1293,,44
Electric House The,1922,23,,7.5,157,,68
Electrical Power,1938,10,,5.8,7,,80
Electrocuting an Elephant,1903,1,,4.3,79,,80
Electronic Labyrinth THX 1138 4EB,1970,15,,6.2,418,,64
Elefante y la bicicleta El,1994,81,,6.6,23,,12
Elefantenherz,2002,95,,8.3,62,,8
Elefteri katadissi,1995,120,,6.9,6,,0
Elegante El,2003,17,2500,8.6,7,,68
Elegiya,1985,30,,9,7,,80
Elektra,2005,96,43000000,4.9,5120,PG-13,1
Element of Doubt,1996,100,,6.5,43,,0
Elementary Phrases,1994,38,,9,5,,64
Eleni,1985,114,,6.3,207,,8
Elenya,1992,87,,5.2,14,,8
Elephant,2003,81,3000000,7.3,9203,R,8
Elephant Boy,1937,80,,6.6,64,,8
Elephant Boy,2004,25,,9.1,10,,72
Elephant Called Slowly An,1969,91,,4,10,,5
Elephant Juice,1999,86,,4.2,90,,8
Elephant Man The,1980,124,5000000,8.2,16422,,8
Elephant Palm Tree,2004,10,,5.8,13,,64
Elephant Song,1994,59,,5.8,15,,8
Elephant Stampede,1951,71,,5.6,13,,0
Elephant Walk,1954,103,,5.8,235,,8
Elephants Egg The,2004,15,30000,4.6,12,,68
Elevated,1997,17,,6.5,115,,64
Elevator Girls In Bondage,1972,56,,2.4,10,,0
Elevator Movie,2004,95,25000,6.1,13,,8
Elevator World,1999,4,,4.9,42,,70
Eleventh Hour,1942,8,,6.7,33,,66
Elf,2003,95,33000000,7,10165,PG,4
Elis Lesson,1992,50,,4.5,6,,0
Elia Kazan: A Directors Journey,1995,75,,7,7,,16
Eliana em O Segredo dos Golfinhos,2005,94,,7.4,14,,1
Eliana Eliana,2002,90,,7,41,,8
Elimination Dance,1998,9,,7.3,27,,64
Eliminators,1986,96,,3.4,130,,1
Elina - Som om jag inte fanns,2002,77,,7.4,198,,8
Eline Vere,1991,132,,5.9,81,,0
Elippathayam,1981,121,,3.4,12,,0
Elisa antes del fin del mundo,1997,80,,6.6,37,,8
Elise,1985,106,,4,6,,8
Eliso,1928,90,,7.2,5,,8
Elite,2000,99,,3.8,157,,1
Elixir dAnvers,1996,105,,5.4,15,,8
Eliza Fraser,1976,130,,5.4,25,,8
Elizas Horoscope,1975,120,,6.3,12,,8
Elizabeth,1998,124,25000000,7.6,14733,R,8
Elizabeth of Ladymead,1948,97,,6.2,13,,8
Elkerlyc,1975,94,,3.4,9,,0
Ella Enchanted,2004,96,35000000,6.5,2502,PG,36
Elle,1995,86,,5.1,6,,0
Elle cause plus elle flingue,1972,87,,5,23,,4
Elle voit des nains partout!,1982,85,,5,38,,4
Elle voulait faire quelque chose,1994,14,,1.2,14,,64
Ellens Energy Adventure,1996,45,,7.3,73,,64
Ellery Queen and the Murder Ring,1941,70,,6,5,,0
Ellery Queen and the Perfect Crime,1941,68,,5.3,7,,0
Ellery Queens Penthouse Mystery,1941,69,,4.7,8,,0
